Surface Word,Chiga Lemma,English translation,Glossing,Match Type
omugamba,omugamba,yoke,umugamba N;SG;BANTU1,PanLex Exact Match
micwe,mcwe,"woman, wife (Inferred via BantuBERTa)",micwe N;PL;BANTU4,BantuBERTa Vector Neighborhood
gwaba,gwaba,"tree, bar (Inferred via BantuBERTa)",gwaba V;PST,BantuBERTa Vector Neighborhood
empisi,empisi,"hyena, vulture",empisi N;SG;BANTU1,PanLex Exact Match
ekitinisa,tinisa,"honor, threaten",tinisa V;PRS;HAB;3;SG,PanLex Exact Match
amatungo,amatungo,cattle,amatungo N;PL;BANTU6,PanLex Exact Match
niruhwaho,niruhwaho,"haze, skin (Inferred via BantuBERTa)",niruhwaho N;PL;BANTU9,BantuBERTa Vector Neighborhood
okuribaata,baata,duck,ribaata V;NFIN,Substring Overlap
okumara,mara,"complete, do, finish, cease, arrowhead, head, spear head, head (of arrow)",mara V;NFIN,PanLex Exact Match
bagushisha,shisha,"destroy, spoil",gushisha V;PRS,Substring Overlap
Omuntu,omuntu,person,umuntu N;SG;BANTU1,PanLex Exact Match
nabanza,okwokubanza,January,banza V;PRS;PROG;3;SG,Substring Overlap
tigukagwa,gwa,"mango, mango-tree (Inferred via BantuBERTa)",tigukagwa V;PST,BantuBERTa Vector Neighborhood
yawe,ahabwawe,for you,wawe DET;POSS;PSS1P;BANTU9,Substring Overlap
engoma,engoma,"drum, the throne",engoma N;SG;BANTU10,PanLex Exact Match
Oyanza,yanza,[Translation Missing],yanza V;PRS;HAB;2;SG,No Lexicon Match
nobasa,abasaasizi,the merciful,basa V;PRS;HAB;1;SG,Substring Overlap
gukagita,kurigita,patter,gukagita V;PST,Substring Overlap
kukwagura,kwagura,scratch,kwagura V;NFIN,PanLex Exact Match
tibakamutanga,anga,"refuse, reject, detest, hate",tanga V;PST,Substring Overlap
Tokureberera,reberera,"care for, look after, pay attention, take care",reberera V;PRS;HAB;1;SG,PanLex Exact Match
takayebwa,ebwa,forget,yebwa V;PST;REM;1;PL,Substring Overlap
gwomuzeyi,umuzeyi,Murundi (Inferred via BantuBERTa),gwomuzeyi N;SG;BANTU1,BantuBERTa Vector Neighborhood
omwe,omwe,one,omwe DET;POSS;PSS1S;BANTU1,PanLex Exact Match
Otakuha,ha,"give, who, who?",ha V;FUT;2;SG,PanLex Exact Match
Obusigazi,obusigazi,youth,ubusigazi N;SG;BANTU14,PanLex Exact Match
