Surface Word,Ganda Lemma,English translation,Glossing,Match Type
Abakadde,umukadde,[Translation Missing],abakadde,No Lexicon Match
bali,bali,[Translation Missing],bali,No Lexicon Match
mu,mu,[Translation Missing],mu,No Lexicon Match
gandaalo,gandaalo,[Translation Missing],gandaalo,No Lexicon Match
kisikiziz,sikiziz,[Translation Missing],ki-sikiziz,No Lexicon Match
kyomuti,omuti,[Translation Missing],kyomuti,No Lexicon Match
Ababi,umubi,[Translation Missing],ababi,No Lexicon Match
okulya,lya,[Translation Missing],oku-lya,No Lexicon Match
abalungi,umlungi,[Translation Missing],abalungi,No Lexicon Match
emilimo,umlimo,[Translation Missing],emilimo,No Lexicon Match
Abakazi,umkazi,[Translation Missing],abakazi,No Lexicon Match
abangi,abangi,[Translation Missing],abangi,No Lexicon Match
bafuula,fuula,[Translation Missing],fuula,No Lexicon Match
musajja,jja,[Translation Missing],mu-sa-jja,No Lexicon Match
waabwe,waabwe,[Translation Missing],waabwe,No Lexicon Match
okwogera,ogera,[Translation Missing],ogera,No Lexicon Match
Aboluganda,uluganda,[Translation Missing],aboluganda,No Lexicon Match
bita,bita,[Translation Missing],bita,No Lexicon Match
nga,nga,[Translation Missing],nga,No Lexicon Match
bayombye,yomba,[Translation Missing],yomba,No Lexicon Match
kwata,kwata,[Translation Missing],kwata,No Lexicon Match
enkumbi,inkumbi,[Translation Missing],enkumbi,No Lexicon Match
olime,lima,[Translation Missing],olime,No Lexicon Match
Abuliira,buliira,[Translation Missing],buliira,No Lexicon Match
omugezi,umugezi,[Translation Missing],omugezi,No Lexicon Match
tatawaana,waana,[Translation Missing],tatawaana,No Lexicon Match
Addukana,ddukana,[Translation Missing],addukana,No Lexicon Match
yanoonya,onya,[Translation Missing],onya,No Lexicon Match
akuyu,kuyu,[Translation Missing],akuyu,No Lexicon Match
Akaami,ami,[Translation Missing],akaami,No Lexicon Match
akatono,tono,[Translation Missing],aka-tono,No Lexicon Match
okagayira,gayira,[Translation Missing],oka-gayira,No Lexicon Match
mitala,mitala,[Translation Missing],mi-tala,No Lexicon Match
wa,wa,[Translation Missing],wa,No Lexicon Match
mugga,gga,[Translation Missing],mu-gga,No Lexicon Match
Akako,wakako,[Translation Missing],akako,No Lexicon Match
