Surface Word,Gikuyu Lemma,English translation,Glossing,Match Type
Mugeni,mugeni,"guest, stranger",muga V;PRS,PanLex Exact Match
ukundemburira,buri,goat,ukundemburira N;SG;BANTU15,Substring Overlap
inyanya,inyanya,eight,inyanya N;SG;BANTU9,PanLex Exact Match
itirumagwo,ruma,"bite, abuse",itirumagwo N;SG;BANTU9,Substring Overlap
Mugambo,mugambo,voice,mugambo N;SG;BANTU1,PanLex Exact Match
Mugarirua,gari,leopard,garirua V;PRS,Substring Overlap
Ithinjagirwo,hinja,"become lean, grow thin",thinjagirwo V;PRS;HAB;3;SG,Substring Overlap
guthua,thua,termite,guthua V;PRS,Substring Overlap
matiri,matiri,[Translation Missing],matiri N;PL;BANTU6,No Lexicon Match
gituthaga,thaga,[Translation Missing],gituthaga N;SG;BANTU14,No Lexicon Match
ndioyagira,yagira,[Translation Missing],yagira V;FUT,No Lexicon Match
urugaga,ruga,"cook, stir",urugaga N;SG;BANTU11,Substring Overlap
thutha,thutha wa kristo,"Anno Domini, Common Era",thutha V;PRS,Substring Overlap
agicoka,coka,"return, go back",gicoka V;PRS,Substring Overlap
muhuhi,muhuhi,[Translation Missing],muhuhi N;SG;BANTU1,No Lexicon Match
njithi,njithi,"uncooked, unripe",njithi N;SG;BANTU9,PanLex Exact Match
ndathiragwo,thiragwo,[Translation Missing],thiragwo V;PST;REC;1;SG,No Lexicon Match
kari,karima,hill,kari PRO;INT;INT,Substring Overlap
maguta,guta,"idleness, sloth, oil, oil (from plants)",guta V;PST;REC;2;PL,PanLex Exact Match
ndirigaria,gari,leopard,rigaria V;PRS,Substring Overlap
makorirwo,makorirwo,[Translation Missing],makorirwo N;PL;BANTU6,No Lexicon Match
Guota,ota,"bask, warm oneself, bask (in the sun)",Guota V;PRS;HAB;3;SG,PanLex Exact Match
nyumba,umba,"mould, mould (pottery)",nyumba N;SG;BANTU9,Substring Overlap
ndagambaga,amba,"apply, spread over, apply (by stretching)",gambaga V;PST;REC;1;SG,Substring Overlap
iri,iri,body,iri DET;POSS;PSS1P;BANTU4,PanLex Exact Match
witaga,gatagati,"inside, in the middle of",witaga DET;POSS;PSS1P;BANTU1,Substring Overlap
Muregi,regi,[Translation Missing],uMuregi N;SG;BANTU1,No Lexicon Match
mutino,muti,"tree-trunk, (base of) tree-trunk, tree, plant, organism capable of photosynthesis, herb",mutino N;SG;BANTU1,Substring Overlap
kuria,ria,"milk, breast, lake",ria V;PRS;PROG;3;SG,PanLex Exact Match
ukiuma,uma,"become dry, dry up, go away, go out",uma V;NFIN,PanLex Exact Match
gwatuka,gwatuka,[Translation Missing],gwatuka V;PST,No Lexicon Match
kiringaga,ringa,"cross, cross (a river)",kiringaga V;PRS,Substring Overlap
