Surface Word,Kamba Lemma,English translation,Glossing,Match Type
Ĩlata,ĩlata,[Translation Missing],ĩlata,No Lexicon Match
ya,ya,[Translation Missing],ya,No Lexicon Match
mbua,mbua,[Translation Missing],mbua,No Lexicon Match
ti,ti,[Translation Missing],ti,No Lexicon Match
ĩlata,ĩlata,[Translation Missing],ĩlata,No Lexicon Match
sua,sua,[Translation Missing],sua,No Lexicon Match
Kana,kana,[Translation Missing],kana,No Lexicon Match
kaketũũa,ketũũa,[Translation Missing],ketũũa,No Lexicon Match
thano,thano,[Translation Missing],thano,No Lexicon Match
kambĩĩaa,mbĩĩaa,[Translation Missing],kambĩĩaa,No Lexicon Match
ũkolotya,kolotya,[Translation Missing],ũkolotya,No Lexicon Match
mbuanĩ,mbuanĩ,[Translation Missing],mbuanĩ,No Lexicon Match
Katu,katu,[Translation Missing],katu,No Lexicon Match
nĩ,nĩ,[Translation Missing],nĩ,No Lexicon Match
ka,ka,[Translation Missing],ka,No Lexicon Match
Kwakya,kya,[Translation Missing],kwakya,No Lexicon Match
kũte,kũta,[Translation Missing],kũte,No Lexicon Match
katu,katu,[Translation Missing],katu,No Lexicon Match
Mũthenya,thenya,[Translation Missing],thenya,No Lexicon Match
wĩ,wĩ,[Translation Missing],wĩ,No Lexicon Match
ndwĩ,ndwĩ,[Translation Missing],ndwĩ,No Lexicon Match
matu,matu,[Translation Missing],matu,No Lexicon Match
Matukũ,tukũ,[Translation Missing],matukũ,No Lexicon Match
oonthe,ontha,[Translation Missing],ontha,No Lexicon Match
wa,wa,[Translation Missing],wa,No Lexicon Match
sikũkũ,kũkũ,[Translation Missing],sikũkũ,No Lexicon Match
ma,ma,[Translation Missing],ma,No Lexicon Match
kĩngei,kĩngei,[Translation Missing],kĩngei,No Lexicon Match
mwonza,onza,[Translation Missing],mw-onza,No Lexicon Match
Ndyĩsũvaa,sũvaa,[Translation Missing],Ndyĩsũvaa,No Lexicon Match
ũtukũ,ũtukũ,[Translation Missing],ũtukũ,No Lexicon Match
kweteele,eteela,[Translation Missing],eteela,No Lexicon Match
ũkya,ũkya,[Translation Missing],ũkya,No Lexicon Match
nĩyonee,onea,[Translation Missing],nĩyonee,No Lexicon Match
nthĩ,nthĩ,[Translation Missing],nthĩ,No Lexicon Match
Ũkaema,ema,[Translation Missing],ema,No Lexicon Match
ona,ona,[Translation Missing],ona,No Lexicon Match
mbũi,mbũi,[Translation Missing],mbũi,No Lexicon Match
nziũ,nziũ,[Translation Missing],nziũ,No Lexicon Match
mũthenya,thenya,[Translation Missing],mũ-thenya,No Lexicon Match
ndũmyona,ona,[Translation Missing],ndũmyona,No Lexicon Match
Ũthũku,ũthũku,[Translation Missing],ũthũku,No Lexicon Match
ũkaa,ũkaa,[Translation Missing],ũkaa,No Lexicon Match
na,na,[Translation Missing],na,No Lexicon Match
ndũkemene,mene,[Translation Missing],ndũkemene,No Lexicon Match
Ũseo,ũseo,[Translation Missing],ũseo,No Lexicon Match
kĩla,kĩla,[Translation Missing],kĩla,No Lexicon Match
ũthũku,ũthũku,[Translation Missing],ũthũku,No Lexicon Match
o,o,[Translation Missing],o,No Lexicon Match
ũmwe,ũmwe,[Translation Missing],ũmwe,No Lexicon Match
Yumaatatũ,tatũ,[Translation Missing],yumaatatũ,No Lexicon Match
ndĩtũaa,tũaa,[Translation Missing],ndĩtũaa,No Lexicon Match
yumaa,yumaa,[Translation Missing],yumaa,No Lexicon Match
no,no,[Translation Missing],no,No Lexicon Match
yĩĩsaa,ĩsaa,[Translation Missing],yĩĩsaa,No Lexicon Match
ĩvika,ĩvika,[Translation Missing],ĩvika,No Lexicon Match
Kyetho,etho,[Translation Missing],kyetho,No Lexicon Match
kya,kya,[Translation Missing],kya,No Lexicon Match
yũlũ,ũlũ,[Translation Missing],yũlũ,No Lexicon Match
