Surface Word,Tshiluba Lemma,English translation,Glossing,Match Type
Nzambi,uNzambi,[Translation Missing],nzambi,No Lexicon Match
kupa,pa,[Translation Missing],pa,No Lexicon Match
biasueye,suaya,[Translation Missing],asueya,No Lexicon Match
tshianza,anza,[Translation Missing],tshianza,No Lexicon Match
tshitu,tshitu,[Translation Missing],tshitu,No Lexicon Match
tshialua,tshialua,[Translation Missing],tshialua,No Lexicon Match
tshinya,tshinya,[Translation Missing],tshinya,No Lexicon Match
Tshiyaya,Tshiyaya,[Translation Missing],tshiyaya,No Lexicon Match
munda,munda,[Translation Missing],munda,No Lexicon Match
ki,ki,[Translation Missing],ki,No Lexicon Match
tshieba,tshieba,[Translation Missing],tshieba,No Lexicon Match
Mukana,kana,[Translation Missing],mukana,No Lexicon Match
mua,mua,[Translation Missing],mua,No Lexicon Match
muntu,muntu,[Translation Missing],muntu,No Lexicon Match
mukole,kola,[Translation Missing],mu-kole,No Lexicon Match
mutu,mutu,[Translation Missing],mutu,No Lexicon Match
mununka,nunka,[Translation Missing],mu-nunka,No Lexicon Match
kadi,kadi,[Translation Missing],kadi,No Lexicon Match
muamba,amba,[Translation Missing],mu-amba,No Lexicon Match
bulelela,bulelela,[Translation Missing],bulelela,No Lexicon Match
Bilengela,lengela,[Translation Missing],BANTU14,No Lexicon Match
mbiasa,mbiasa,[Translation Missing],mbiasa,No Lexicon Match
munkelenda,lenda,[Translation Missing],mu-nke-lenda,No Lexicon Match
Lufu,fu,[Translation Missing],Lufu,No Lexicon Match
ntulu,ntulu,[Translation Missing],ntulu,No Lexicon Match
Muana,ana,[Translation Missing],muana,No Lexicon Match
tshishiku,tshishiku,[Translation Missing],tshishiku,No Lexicon Match
muana,muana,[Translation Missing],muana,No Lexicon Match
nzala,nzala,[Translation Missing],nzala,No Lexicon Match
Dipuekesha,puekesha,[Translation Missing],Di-puekesha,No Lexicon Match
baku,waku,[Translation Missing],baku,No Lexicon Match
bandisha,bandisha,[Translation Missing],bandisha,No Lexicon Match
Tshitu,Tshitu,[Translation Missing],tshitu,No Lexicon Match
Muntu,uMuntu,[Translation Missing],muntu,No Lexicon Match
ukuna,ukuna,[Translation Missing],u-kuna,No Lexicon Match
kitshituyi,tshituyi,[Translation Missing],ki-tshituyi,No Lexicon Match
upola,pola,[Translation Missing],u-pola,No Lexicon Match
Lulengu,lengu,[Translation Missing],lulengu,No Lexicon Match
musamu,musamu,[Translation Missing],musamu,No Lexicon Match
wa,wa,[Translation Missing],wa,No Lexicon Match
diabulu,abulu,[Translation Missing],diabulu,No Lexicon Match
Muena,ena,[Translation Missing],ena,No Lexicon Match
buebe,eba,[Translation Missing],eba,No Lexicon Match
buamba,amba,[Translation Missing],buamba,No Lexicon Match
bikole,kola,[Translation Missing],bi-kole,No Lexicon Match
nanku,nanku,[Translation Missing],nanku,No Lexicon Match
bena,bena,[Translation Missing],bena,No Lexicon Match
panshi,panshi,[Translation Missing],panshi,No Lexicon Match
bakwatshishabu,tshishabu,[Translation Missing],ba-kwatshishabu,No Lexicon Match
Munu,uMunu,[Translation Missing],munu,No Lexicon Match
umua,umua,[Translation Missing],umua,No Lexicon Match
kawena,wena,[Translation Missing],ka-wena,No Lexicon Match
kukuma,kuma,[Translation Missing],kuma,No Lexicon Match
bionso,bionso,[Translation Missing],bi-onso,No Lexicon Match
Kankamana,mana,[Translation Missing],kankamana,No Lexicon Match
tshidimu,tshidimu,[Translation Missing],tshidimu,No Lexicon Match
tshiakulua,lua,[Translation Missing],tshiakulua,No Lexicon Match
uta,uta,[Translation Missing],uta,No Lexicon Match
kasanka,sanka,[Translation Missing],ka-sanka,No Lexicon Match
biebe,eba,[Translation Missing],bi-ebe,No Lexicon Match
Sela,Sela,[Translation Missing],sela,No Lexicon Match
babidi,bidi,[Translation Missing],babidi,No Lexicon Match
ufua,fua,[Translation Missing],u-fua,No Lexicon Match
lukasa,sa,[Translation Missing],lukasa,No Lexicon Match
Mukaji,uMukaji,[Translation Missing],mukaji,No Lexicon Match
badiadia,adia,[Translation Missing],ba-diadia,No Lexicon Match
kafuisha,fua,[Translation Missing],fuisha,No Lexicon Match
bayenda,yenda,[Translation Missing],yenda,No Lexicon Match
muitu,muitu,[Translation Missing],muitu,No Lexicon Match
mu,mu,[Translation Missing],mu,No Lexicon Match
mbonga,mbonga,[Translation Missing],mbonga,No Lexicon Match
Tshidimanyine,Tshidimanya,[Translation Missing],Tshidimanyine,No Lexicon Match
wakadia,dia,[Translation Missing],waka-dia,No Lexicon Match
bidia,dia,[Translation Missing],bidia,No Lexicon Match
bitupu,tupu,[Translation Missing],bi-tupu,No Lexicon Match
Biasala,sala,[Translation Missing],BANTU2,No Lexicon Match
wapita,pita,[Translation Missing],pita,No Lexicon Match
kuindidi,indidi,[Translation Missing],indidi,No Lexicon Match
kumona,mona,[Translation Missing],mona,No Lexicon Match
neumone,mona,[Translation Missing],neumone,No Lexicon Match
mabika,bika,[Translation Missing],ma-bika,No Lexicon Match
Tshiseba,Tshiseba,[Translation Missing],tshiseba,No Lexicon Match
kateketshi,teketshi,[Translation Missing],ka-teketshi,No Lexicon Match
nansha,nsha,[Translation Missing],nansha,No Lexicon Match
ba,ba,[Translation Missing],ba,No Lexicon Match
mutua,mutua,[Translation Missing],mutua,No Lexicon Match
mutshinu,mutshinu,[Translation Missing],mu-tshinu,No Lexicon Match
katu,katu,[Translation Missing],katu,No Lexicon Match
uteketa,teketa,[Translation Missing],u-teketa,No Lexicon Match
to,to,[Translation Missing],to,No Lexicon Match
Enda,enda,[Translation Missing],enda,No Lexicon Match
biteketa,teketa,[Translation Missing],bi-teketa,No Lexicon Match
dibaka,baka,[Translation Missing],di-baka,No Lexicon Match
mbudimi,mbudimi,[Translation Missing],mbudimi,No Lexicon Match
bua,bua,[Translation Missing],bua,No Lexicon Match
meba,meba,[Translation Missing],meba,No Lexicon Match
Kusuluilu,suluilu,[Translation Missing],suluilu,No Lexicon Match
tshamukwenu,tshamukwenu,[Translation Missing],tshamukwenu,No Lexicon Match
lwanga,lwanga,[Translation Missing],lwanga,No Lexicon Match
mukuenu,enu,[Translation Missing],mukuenu,No Lexicon Match
mutshelela,tshelela,[Translation Missing],mu-tshelela,No Lexicon Match
biende,enda,[Translation Missing],enda,No Lexicon Match
meji,meji,[Translation Missing],meji,No Lexicon Match
To,wo,[Translation Missing],to,No Lexicon Match
ubandishila,bandishila,[Translation Missing],ubandishila,No Lexicon Match
nfuaka,fuaka,[Translation Missing],nfuaka,No Lexicon Match
Udiadia,adia,[Translation Missing],udiadia,No Lexicon Match
wadia,dia,[Translation Missing],wa-dia,No Lexicon Match
tshibi,tshibi,[Translation Missing],tshibi,No Lexicon Match
matandu,matandu,[Translation Missing],matandu,No Lexicon Match
Bela,bela,[Translation Missing],bela,No Lexicon Match
nshiba,nshiba,[Translation Missing],nshiba,No Lexicon Match
matsho,matsho,[Translation Missing],matsho,No Lexicon Match
mukalenga,lenga,[Translation Missing],muka-lenga,No Lexicon Match
