	meaning	txt_lug	langvar_uid_lug	txt_eng	langvar_uid_eng
0	36235887	Kiyira	lug-000	Nile	eng-000
1	30766268	obunene	lug-000	area	eng-000
3	32692643	obunene	lug-000	size	eng-000
4	36229630	Bulaya	lug-000	Europe	eng-000
10	32691970	ensiri	lug-000	mosquito	eng-000
11	20272490	-pya	lug-000	new	eng-000
12	19491375	butonde	lug-000	environment	eng-000
13	19491376	butonde	lug-000	nature	eng-000
14	19491962	kirevu	lug-000	beard	eng-000
15	19492499	kukunga	lug-000	campaign	eng-000
16	19493968	muntu	lug-000	human	eng-000
17	19493969	muntu	lug-000	person	eng-000
18	10166683	musulo	lug-000	dew	eng-000
19	19494043	musulo	lug-000	piss	eng-000
20	19494044	musulo	lug-000	urine	eng-000
21	19494588	takisi	lug-000	taxi	eng-000
22	30773582	takisi	lug-000	cab	eng-000
24	30773582	takisi	lug-000	taxicab	eng-000
26	19494651	viivi	lug-000	knee	eng-000
27	30765929	akabeenje	lug-000	accident	eng-000
29	30765935	eryanda	lug-000	battery	eng-000
32	30766043	obukulu	lug-000	age	eng-000
34	30766048	ekyaasa	lug-000	century	eng-000
36	30766049	endagaano	lug-000	agreement	eng-000
38	30766049	enzikiriziganya	lug-000	agreement	eng-000
40	30766059	ebyobulimi	lug-000	agriculture	eng-000
42	30766080	obudde	lug-000	weather	eng-000
43	30770448	obudde	lug-000	time	eng-000
46	30766092	ekisaawe kyʼennyonyi	lug-000	airport	eng-000
48	30766108	ekitamiiza	lug-000	alcohol	eng-000
49	30766108	ekitamiiza	lug-000	ethanol	eng-000
50	30766108	ekitamiiza	lug-000	ethyl alcohol	eng-000
51	30766108	ekitamiiza	lug-000	grain alcohol	eng-000
53	30766195	ensolo	lug-000	animal	eng-000
60	30766195	ekisolo	lug-000	animal	eng-000
63	32690542	ekisolo	lug-000	bear	eng-000
64	30766268	ekitundu	lug-000	area	eng-000
72	32691506	ekitundu	lug-000	half	eng-000
73	32692157	ekitundu	lug-000	part	eng-000
74	30766375	atategeera omusiru	lug-000	arse	eng-000
75	30766375	atategeera omusiru	lug-000	ass	eng-000
76	30766375	atategeera omusiru	lug-000	backside	eng-000
77	30766375	atategeera omusiru	lug-000	behind	eng-000
78	30766375	atategeera omusiru	lug-000	bottom	eng-000
79	30766375	atategeera omusiru	lug-000	bum	eng-000
80	30766375	atategeera omusiru	lug-000	buns	eng-000
81	30766375	atategeera omusiru	lug-000	butt	eng-000
82	30766375	atategeera omusiru	lug-000	buttocks	eng-000
83	30766375	atategeera omusiru	lug-000	can	eng-000
84	30766375	atategeera omusiru	lug-000	derriere	eng-000
85	30766375	atategeera omusiru	lug-000	fanny	eng-000
86	30766375	atategeera omusiru	lug-000	fundament	eng-000
87	30766375	atategeera omusiru	lug-000	hind end	eng-000
88	30766375	atategeera omusiru	lug-000	hindquarters	eng-000
90	30766375	atategeera omusiru	lug-000	nates	eng-000
92	30766375	atategeera omusiru	lug-000	prat	eng-000
93	30766375	atategeera omusiru	lug-000	rear	eng-000
94	30766375	atategeera omusiru	lug-000	rear end	eng-000
95	30766375	atategeera omusiru	lug-000	rump	eng-000
98	30766375	atategeera omusiru	lug-000	tail	eng-000
99	30766375	atategeera omusiru	lug-000	tail end	eng-000
100	30766375	atategeera omusiru	lug-000	tooshie	eng-000
101	30766375	atategeera omusiru	lug-000	tush	eng-000
103	30766375	akabina	lug-000	arse	eng-000
104	30766375	akabina	lug-000	ass	eng-000
105	30766375	akabina	lug-000	backside	eng-000
106	30766375	akabina	lug-000	behind	eng-000
107	30766375	akabina	lug-000	bottom	eng-000
108	30766375	akabina	lug-000	bum	eng-000
109	30766375	akabina	lug-000	buns	eng-000
110	30766375	akabina	lug-000	butt	eng-000
111	30766375	akabina	lug-000	buttocks	eng-000
112	30766375	akabina	lug-000	can	eng-000
113	30766375	akabina	lug-000	derriere	eng-000
114	30766375	akabina	lug-000	fanny	eng-000
115	30766375	akabina	lug-000	fundament	eng-000
116	30766375	akabina	lug-000	hind end	eng-000
117	30766375	akabina	lug-000	hindquarters	eng-000
119	30766375	akabina	lug-000	nates	eng-000
121	30766375	akabina	lug-000	prat	eng-000
122	30766375	akabina	lug-000	rear	eng-000
123	30766375	akabina	lug-000	rear end	eng-000
124	30766375	akabina	lug-000	rump	eng-000
127	30766375	akabina	lug-000	tail	eng-000
128	30766375	akabina	lug-000	tail end	eng-000
129	30766375	akabina	lug-000	tooshie	eng-000
130	30766375	akabina	lug-000	tush	eng-000
131	30783454	akabina	lug-000	buttock	eng-000
136	30766384	obusigo	lug-000	berry	eng-000
138	30766387	olubalama lw’enyanja	lug-000	beach	eng-000
140	30766394	ente	lug-000	cattle	eng-000
147	32690955	ente	lug-000	cow	eng-000
148	30766397	evvuvumira	lug-000	beetle	eng-000
150	30766420	eggaali	lug-000	bicycle	eng-000
151	30766420	eggaali	lug-000	bike	eng-000
152	30766420	eggaali	lug-000	cycle	eng-000
154	30766471	okwegema okuzaala	lug-000	birth control	eng-000
155	30766471	okwegema okuzaala	lug-000	contraception	eng-000
157	30766480	omusaayi	lug-000	blood	eng-000
